Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
yokohamafm,1999/04/10,1999/04/17 00:00:00,7,2,Ｊ１ １ｓｔ,cosaka,iwata,136,143
iwata,1999/04/17,1999/05/19 00:00:00,32,5,Ｊ１ １ｓｔ,yokohamafm,cosaka,306,338
cosaka,1999/05/19,1999/05/29 00:00:00,10,2,Ｊ１ １ｓｔ,iwata,kobe,42,52
kobe,1999/05/29,1999/08/28 00:00:00,91,5,Ｊ１ １ｓｔ,cosaka,kyoto,10,101
kyoto,1999/08/28,1999/09/04 00:00:00,7,1,Ｊ１ ２ｎｄ,kobe,hiroshima,39,46
hiroshima,1999/09/04,1999/09/18 00:00:00,14,3,Ｊ１ ２ｎｄ,kyoto,shimizu,42,56
shimizu,1999/09/18,1999/11/27 00:00:00,70,6,Ｊ１ ２ｎｄ,hiroshima,kashiwa,118,188
kashiwa,1999/11/27,2000/03/25 00:00:00,119,3,Ｊ１ ２ｎｄ,shimizu,shimizu,151,270
shimizu,2000/03/25,2000/04/08 00:00:00,14,3,Ｊ１ １ｓｔ,kashiwa,nagoya,188,202
nagoya,2000/04/08,2000/04/15 00:00:00,7,1,Ｊ１ １ｓｔ,shimizu,yokohamafm,117,124
yokohamafm,2000/04/15,2000/04/22 00:00:00,7,2,Ｊ１ １ｓｔ,nagoya,kashiwa,143,150
kashiwa,2000/04/22,2000/04/29 00:00:00,7,1,Ｊ１ １ｓｔ,yokohamafm,cosaka,270,277
cosaka,2000/04/29,2000/05/03 00:00:00,4,1,Ｊ１ １ｓｔ,kashiwa,gosaka,52,56
gosaka,2000/05/03,2000/05/06 00:00:00,3,1,Ｊ１ １ｓｔ,cosaka,chiba,53,56
chiba,2000/05/06,2000/05/13 00:00:00,7,1,Ｊ１ １ｓｔ,gosaka,shimizu,134,141
shimizu,2000/05/13,2000/05/17 00:00:00,4,1,Ｊ１ １ｓｔ,chiba,kobe,202,206
kobe,2000/05/17,2000/05/24 00:00:00,7,2,Ｊ１ １ｓｔ,shimizu,iwata,101,108
iwata,2000/05/24,2000/05/27 00:00:00,3,1,Ｊ１ １ｓｔ,kobe,shimizu,338,341
shimizu,2000/05/27,2000/06/24 00:00:00,28,3,Ｊ１ １ｓｔ,iwata,cosaka,206,234
cosaka,2000/06/24,2000/07/05 00:00:00,11,2,Ｊ１ ２ｎｄ,shimizu,tokyov,56,67
